#####ESG (strain/slip/slipGradient) history for Gauss Point 1 in Element 20 
TimeStep 	 eps_xx 	 eps_yy 	 gamma_xy 	 s_x 	 s_y 	 g_xx 	 g_yy 	 g_xy 	 g_yx 
48 	 4.949529e-04 	 -1.756314e-05 	 -8.146123e-05 	 4.739638e-05 	 -7.273146e-05 	 1.522939e-04 	 3.260728e-05 	 -8.240495e-05 	 -3.191592e-05 
49 	 5.023194e-04 	 -1.743070e-05 	 -8.515184e-05 	 5.002359e-05 	 -7.658314e-05 	 1.573077e-04 	 3.451613e-05 	 -8.561014e-05 	 -3.333562e-05 
50 	 5.094652e-04 	 -1.736941e-05 	 -8.835182e-05 	 5.256404e-05 	 -8.086071e-05 	 1.624856e-04 	 3.676381e-05 	 -8.944785e-05 	 -3.498495e-05 
51 	 5.226979e-04 	 -1.915764e-05 	 -8.915261e-05 	 5.486306e-05 	 -8.700899e-05 	 1.663384e-04 	 4.031325e-05 	 -9.452774e-05 	 -3.709114e-05 
52 	 6.851156e-04 	 -3.296782e-05 	 -2.804347e-05 	 8.869482e-05 	 -1.173570e-04 	 1.394773e-04 	 6.873419e-05 	 -1.331537e-04 	 -4.277087e-05 
53 	 7.853860e-04 	 -3.769062e-05 	 2.879954e-05 	 1.019692e-04 	 -1.295642e-04 	 1.256567e-04 	 7.902174e-05 	 -1.564909e-04 	 -4.560454e-05 
54 	 8.094374e-04 	 -3.841254e-05 	 3.555386e-05 	 1.062931e-04 	 -1.305118e-04 	 1.264129e-04 	 8.065295e-05 	 -1.628628e-04 	 -4.583230e-05 
55 	 8.358686e-04 	 -3.868118e-05 	 4.263501e-05 	 1.108226e-04 	 -1.337094e-04 	 1.273939e-04 	 8.322692e-05 	 -1.704027e-04 	 -4.692131e-05 
56 	 8.593896e-04 	 -3.918680e-05 	 4.654467e-05 	 1.147144e-04 	 -1.367855e-04 	 1.289665e-04 	 8.560173e-05 	 -1.776395e-04 	 -4.789676e-05 
57 	 8.811426e-04 	 -3.963438e-05 	 4.966794e-05 	 1.191719e-04 	 -1.397227e-04 	 1.312326e-04 	 8.801940e-05 	 -1.852951e-04 	 -4.874667e-05 
58 	 9.024785e-04 	 -4.012935e-05 	 5.263577e-05 	 1.228685e-04 	 -1.419809e-04 	 1.332000e-04 	 9.010110e-05 	 -1.917693e-04 	 -4.946425e-05 
59 	 9.240508e-04 	 -4.059230e-05 	 5.532390e-05 	 1.269647e-04 	 -1.448618e-04 	 1.355093e-04 	 9.263366e-05 	 -1.984570e-04 	 -5.047171e-05 
60 	 9.473646e-04 	 -4.094226e-05 	 5.736767e-05 	 1.296724e-04 	 -1.476549e-04 	 1.376396e-04 	 9.555415e-05 	 -2.055533e-04 	 -5.218102e-05 
61 	 9.940072e-04 	 -3.880113e-05 	 5.139380e-05 	 1.903807e-04 	 -1.481504e-04 	 1.752008e-04 	 1.285143e-04 	 -3.184663e-04 	 -5.679226e-05 
62 	 1.027181e-03 	 -3.811305e-05 	 6.929224e-05 	 1.974386e-04 	 -1.494917e-04 	 1.778894e-04 	 1.301816e-04 	 -3.319996e-04 	 -5.740543e-05 
63 	 1.049988e-03 	 -3.902594e-05 	 7.651608e-05 	 2.015496e-04 	 -1.496102e-04 	 1.806401e-04 	 1.314520e-04 	 -3.406006e-04 	 -5.762237e-05 
64 	 1.074696e-03 	 -3.878815e-05 	 8.517686e-05 	 2.067686e-04 	 -1.505867e-04 	 1.844090e-04 	 1.332805e-04 	 -3.504687e-04 	 -5.837396e-05 
65 	 1.098111e-03 	 -3.886893e-05 	 9.265812e-05 	 2.132964e-04 	 -1.513869e-04 	 1.897367e-04 	 1.351084e-04 	 -3.597947e-04 	 -5.900802e-05 
66 	 1.119950e-03 	 -3.885557e-05 	 9.867803e-05 	 2.166907e-04 	 -1.521278e-04 	 1.936845e-04 	 1.366479e-04 	 -3.662637e-04 	 -5.977099e-05 
67 	 1.139917e-03 	 -3.871240e-05 	 1.029299e-04 	 2.197120e-04 	 -1.534687e-04 	 1.976191e-04 	 1.388022e-04 	 -3.731408e-04 	 -6.123407e-05 
68 	 1.157647e-03 	 -3.896314e-05 	 1.054797e-04 	 2.228670e-04 	 -1.546634e-04 	 2.015553e-04 	 1.404908e-04 	 -3.787372e-04 	 -6.207236e-05 
69 	 1.175353e-03 	 -3.906155e-05 	 1.081051e-04 	 2.262641e-04 	 -1.558883e-04 	 2.056894e-04 	 1.421080e-04 	 -3.842783e-04 	 -6.286938e-05 
70 	 1.193057e-03 	 -3.920782e-05 	 1.108242e-04 	 2.296159e-04 	 -1.567464e-04 	 2.098357e-04 	 1.435115e-04 	 -3.897174e-04 	 -6.348078e-05 
71 	 1.210860e-03 	 -3.932999e-05 	 1.137226e-04 	 2.330205e-04 	 -1.579982e-04 	 2.140600e-04 	 1.450414e-04 	 -3.952230e-04 	 -6.423731e-05 
72 	 1.228764e-03 	 -3.947070e-05 	 1.165320e-04 	 2.364687e-04 	 -1.593202e-04 	 2.182327e-04 	 1.465323e-04 	 -4.006409e-04 	 -6.493078e-05 
73 	 1.246845e-03 	 -3.967516e-05 	 1.191865e-04 	 2.397745e-04 	 -1.607339e-04 	 2.224402e-04 	 1.479981e-04 	 -4.062688e-04 	 -6.557994e-05 
74 	 1.265061e-03 	 -3.965913e-05 	 1.190603e-04 	 2.400648e-04 	 -1.625968e-04 	 2.277993e-04 	 1.502354e-04 	 -4.163036e-04 	 -6.728314e-05 
75 	 1.280113e-03 	 -4.158619e-05 	 1.196756e-04 	 2.433842e-04 	 -1.635020e-04 	 2.309904e-04 	 1.510801e-04 	 -4.192897e-04 	 -6.690527e-05 
76 	 1.298824e-03 	 -4.149301e-05 	 1.221291e-04 	 2.462865e-04 	 -1.638280e-04 	 2.352286e-04 	 1.518901e-04 	 -4.253184e-04 	 -6.690404e-05 
77 	 1.317952e-03 	 -4.062779e-05 	 1.240903e-04 	 2.490777e-04 	 -1.673771e-04 	 2.394094e-04 	 1.537203e-04 	 -4.319629e-04 	 -6.776071e-05 
78 	 1.335742e-03 	 -3.887655e-05 	 1.340706e-04 	 2.594433e-04 	 -1.933183e-04 	 2.324528e-04 	 1.497644e-04 	 -4.229984e-04 	 -5.788739e-05 
79 	 1.351711e-03 	 -3.980861e-05 	 1.364655e-04 	 2.619182e-04 	 -1.943827e-04 	 2.351114e-04 	 1.501690e-04 	 -4.259044e-04 	 -5.771221e-05 
80 	 1.370932e-03 	 -3.962971e-05 	 1.409082e-04 	 2.675018e-04 	 -1.983947e-04 	 2.364238e-04 	 1.527034e-04 	 -4.260551e-04 	 -5.957529e-05 
81 	 1.387561e-03 	 -4.093485e-05 	 1.424402e-04 	 2.701304e-04 	 -1.979116e-04 	 2.396934e-04 	 1.528815e-04 	 -4.297705e-04 	 -5.907392e-05 
82 	 1.405338e-03 	 -4.128466e-05 	 1.452534e-04 	 2.726667e-04 	 -1.978127e-04 	 2.432839e-04 	 1.532824e-04 	 -4.346234e-04 	 -5.904517e-05 
83 	 1.422624e-03 	 -4.151312e-05 	 1.479109e-04 	 2.751895e-04 	 -1.974464e-04 	 2.466929e-04 	 1.534954e-04 	 -4.392603e-04 	 -5.898125e-05 
84 	 1.439804e-03 	 -4.156310e-05 	 1.504934e-04 	 2.776946e-04 	 -1.968824e-04 	 2.500607e-04 	 1.535619e-04 	 -4.441304e-04 	 -5.884950e-05 
85 	 1.456860e-03 	 -4.131152e-05 	 1.526598e-04 	 2.801578e-04 	 -1.963139e-04 	 2.532330e-04 	 1.534372e-04 	 -4.496454e-04 	 -5.864732e-05 
86 	 1.468557e-03 	 -3.809112e-05 	 1.526255e-04 	 2.821965e-04 	 -1.962144e-04 	 2.586261e-04 	 1.522761e-04 	 -4.574585e-04 	 -5.847713e-05 
